Site,Latitude,Longitude,RowcropPrp,CRPPrp,Native,RowcropTE,CRPTE,SHDI,StreamsDist,StreamDensity,LoamyTablePct2k,DaysActive3yr,LagObs,Richness3yr
0,37.246548,-99.982531,0.000215085,0,0.926799541,300,0,1.237462395,42.819387,117.9555,0,83,1,4
1,38.827767,-100.128149,0.534093353,0.035419804,0.214096222,51390,9960,1.780274063,261.012375,120.1854,0.406559,81,9,5
2,39.24175852,-101.9865093,0.584395132,0,0.127773801,75360,0,1.484183014,125.718536,45.58339,0.88629,81,0,4
3,37.143371,-101.250943,0.529344321,0.242422071,0.005732753,45990,21150,1.468228168,7860.64503,0,0,69,2,3
4,38.533094,-99.598849,0.38472023,0.129985653,0.214849354,39060,16980,1.716190949,138.812699,96.00305,0,68,0,4
5,37.60678836,-101.7915906,0.287504475,0.206731113,0.064804869,46410,14610,1.955479903,429.047226,14.40831,0.389664,69,0,2
6,39.41637,-99.827903,0.239317465,0.003226269,0.474404932,47700,1140,1.896233161,61.566827,117.5724,0,69,4,4
7,37.517404,-101.432824,0.26991404,0.051719198,0.313467049,47970,5880,1.961332509,34.87321,23.96427,0.338902,81,0,3
8,38.231773,-100.160874,0.162627277,0.000430231,0.623476265,18660,360,1.728808092,490.976915,132.8953,0,69,6,2
9,37.97791387,-101.4913813,0.135057677,0.271261732,0.286093,11460,19530,1.823664942,933.408174,53.49857,0.590658,68,6,3
10,39.5443,-100.534789,0.634975263,0.006739801,0.127267512,68220,3120,1.486035914,85.343792,87.37106,0.912439,55,26,4
11,39.566284,-101.724663,0.586211839,0.08162534,0.174716927,44940,7260,1.570620049,620.298355,35.28973,0.584682,83,38,5
12,39.511034,-100.794968,0.783512545,0.00078853,0.115268817,49140,720,1.186346892,40.116648,66.19003,0.874972,54,0,4
13,39.950759,-101.429848,0.1259583,0.000716486,0.722648133,20310,540,1.490726256,334.995074,82.57984,0.247747,67,14,3
14,37.242911,-101.553354,0.03095221,0.014401376,0.482983449,23520,2700,1.980680533,349.923337,13.39865,0,70,0,2
15,37.257087,-100.8529,0.54938758,0.001933959,0.256571879,62220,840,1.587479257,311.177176,47.54504,0.52753,68,15,2
16,39.05640514,-101.2764625,0.768944277,0,0.034737144,55800,0,1.164597211,360.15537,65.70908,0.943034,65,25,3
17,38.80136,-99.853248,0.104353439,0.151473858,0.434268091,24900,14070,1.994767857,28.590039,133.7064,0,82,0,4
18,39.079719,-99.59757,0.105908504,0.020507672,0.724006884,24210,5820,1.728644105,719.607557,62.00347,0,82,3,5
19,38.387785,-99.758128,0.314015206,0.13778511,0.116339119,63090,23850,1.806901386,133.145632,124.0809,0,40,0,3
20,37.192628,-101.090414,0.483008317,0.079079438,0.057929452,49650,6540,1.702589377,8833.903818,1.383478,0,82,23,2
21,38.63650937,-100.4254373,0.361362007,0.075197133,0.289032258,45300,7800,1.955792539,748.316309,71.75621,0.36818,69,9,3
22,37.653096,-100.045671,0.656339644,0.034638554,0.030694205,65760,6360,1.395346542,40.238545,92.80376,0,68,2,3
23,39.614828,-100.254302,0.476576512,0.000717412,0.247722218,60030,480,1.644395609,741.615515,96.81098,0,80,24,5
24,37.228684,-99.993262,0.000286923,0,0.91385123,360,0,1.222408614,436.836659,109.5216,0,82,12,2
25,39.032916,-100.379413,0.550967742,0,0.293691756,67020,0,1.575594188,943.457907,97.79801,0.100975,68,2,4
26,38.22471,-100.187629,0.427731996,0.084772483,0.226012182,40920,16680,1.794750368,553.960171,132.1931,0.000456,80,3,1
27,37.824826,-101.122216,0.291499427,0.432196101,0.17660553,38400,27150,1.680503461,11762.83662,0,0,77,1,3
28,38.94323833,-101.1834801,0.451282419,0.067774753,0.382146439,41190,10020,1.699208599,514.986571,62.41592,0.591538,83,0,3
29,37.397783,-100.257668,0.406409062,0.14696394,0.07620618,72360,21780,1.968945737,504.543747,88.91795,0,80,6,4
30,37.77572622,-101.7799429,0.25198825,0.3280791,0.119653221,20310,18960,1.852747981,334.543732,45.31243,0.230028,59,0,3
31,39.708471,-100.702703,0.549136263,0,0.270016486,80070,0,1.627238883,164.761548,111.4318,0.279839,68,13,4
32,38.66825961,-100.1567665,0.356640849,0.325301205,0.161574871,45690,29100,1.813967169,49.003936,109.2843,0.004977,83,0,3
33,39.747186,-101.049089,0.233443234,0,0.624784977,33900,0,1.669576872,537.378955,88.38049,0.491881,80,4,2
34,38.07411223,-101.6594212,0.397706915,0.315872447,0.16008599,29100,25530,1.680149717,176.460835,55.7797,0.386207,53,21,4
35,39.267177,-100.92608,0.397706093,0.027455197,0.283512544,50460,2910,1.716509978,5.302043,57.33809,0.544051,55,11,3
36,38.900818,-100.255602,0.301620304,0.004946946,0.491826791,71940,1680,1.821317248,21.333788,118.2719,0.288163,80,1,4
37,39.498138,-101.362093,0.66468524,0,0.066031655,61410,0,1.30070835,1804.272962,25.63119,0.993861,81,0,2
38,39.335018,-100.191264,0.074738201,0.016855544,0.812293789,21000,3540,1.579967928,72.971592,106.242,0.157457,80,6,1
39,39.313992,-99.903568,0.126327116,0.050071736,0.65882353,24780,19080,1.796139894,248.315501,115.4811,0,77,0,3
40,37.793828,-100.784019,0.638207885,0,0.009318996,72240,0,1.292437393,9331.796488,0,0.444045,82,18,4
41,37.42304,-101.030709,0.276452468,0.347374454,0.136542732,32520,18600,1.884471667,846.292776,39.92589,0.403533,60,5,2
42,39.874711,-101.733841,0.271366144,0.0000716,0.540726413,42270,120,1.810372589,50.547872,70.08839,0.158945,78,2,3
43,37.497434,-101.13601,0.327193234,0.224985665,0.21925172,33060,25260,1.89716396,881.818605,35.25167,0.227644,62,0,2
44,39.407201,-100.077437,0.373664204,0.082191781,0.374166248,53070,15000,1.83893145,134.87998,111.9475,0,80,24,4
45,37.525751,-99.884237,0.258032129,0.174196787,0.287507172,34140,19170,2.022863238,7.152555,101.8184,0,69,2,3
46,38.84367026,-101.7291597,0.164410058,0,0.714592736,39660,0,1.643958182,817.1932,79.04839,0.379466,82,4,5
47,37.022599,-99.943493,0.003729203,0.026462995,0.917455536,1800,3780,1.154940361,280.155564,31.95167,0,68,4,4
48,39.799847,-100.170995,0.499282846,0,0.263267355,57420,0,1.580049743,248.276643,99.07606,0,81,23,4
49,39.220013,-100.7497,0.73564619,0.003655652,0.032685829,60630,1740,1.219560398,569.602209,76.9845,0.962814,67,13,3
50,39.827263,-101.175315,0.376836523,0,0.456174299,50580,0,1.657541753,215.032506,88.13817,0.570349,82,6,3
51,38.973706,-100.494642,0.362066495,0.105904271,0.329177415,58500,6780,1.86220725,124.401237,103.1679,0.642259,69,0,3
52,37.633473,-100.963964,0.63650043,0.003081112,0.000358269,72630,1260,1.291672657,2045.178334,10.21383,0.975453,69,2,3
53,39.01803069,-101.0078207,0.810127489,0.020555794,0.098768085,46200,2220,1.146821007,270.150442,55.48687,0.984679,81,0,4
54,38.72557026,-100.0400305,0.125125484,0.136741718,0.407285243,33180,15540,1.885805602,22.938989,112.6313,0,61,0,2
55,37.311819,-99.850935,0.0000717,0,0.796572494,120,0,1.442369139,4.025364,114.236,0,47,0,3
56,39.438434,-101.688696,0.317878896,0.089645288,0.442422071,46980,14880,1.82155992,270.431839,55.80932,0.21475,81,9,4
57,39.288701,-99.731945,0.087115509,0.109485911,0.579479458,15900,30180,1.860899966,463.764004,118.2357,0,78,6,3
58,37.051187,-101.72248,0.120002866,0.037684482,0.574939103,34320,5640,1.710344905,1311.543521,8.060976,0,81,3,2
59,39.828421,-100.870611,0.08200129,0.024442692,0.667263996,25110,5520,1.741341028,668.068292,91.15959,0.413667,81,8,3
60,38.93523326,-101.23592,0.509243336,0.020994554,0.17053597,38520,2640,1.66114403,288.034892,73.20393,0.789489,84,0,3
61,37.89949838,-101.8347076,0.295272206,0.303151862,0.246489971,20970,12540,1.882809088,465.937698,40.46983,0.411781,80,3,3
62,39.015888,-100.238484,0.452380952,0.035355709,0.188324727,82740,12420,1.900365554,576.046589,99.69196,0.031072,82,4,3
63,38.87037694,-101.4819693,0.00379765,0,0.974276297,2700,0,1.169114727,73.444063,63.35874,0.458874,72,28,4
64,38.266897,-99.588488,0.219115222,0.20140532,0.414999641,32280,19950,1.678558489,187.511469,76.01546,0,75,30,2
65,38.04461379,-101.7313756,0.382548893,0.291568164,0.25001791,21720,17460,1.622807119,723.340091,92.75279,0.378672,53,3,4
66,39.787767,-100.568317,0.363981654,0.002938226,0.458936506,57510,1080,1.745850057,139.462497,101.5792,0,77,5,3
67,37.438879,-99.567093,0.073872194,0.0348562,0.696765402,21300,6390,1.505148311,18.45482,65.01426,0,83,0,4
68,37.360144,-102.018298,0.388224339,0.249552324,0.034094979,38130,22140,1.642049833,47.104651,23.83817,0.376799,72,4,3
69,37.639091,-100.355516,0.556989247,0.118494624,0.018136201,61470,18270,1.612009207,48.493066,43.04572,0.152295,72,2,4
70,38.97667231,-101.2950524,0.342982016,0.105180196,0.513505768,24720,6120,1.684372744,773.15087,69.74307,0.41253,77,0,5
71,39.437345,-100.622352,0.750268875,0,0.125259912,57960,0,1.253715641,988.836303,59.36594,0.891287,71,22,5
72,37.99004364,-101.8609723,0.246026063,0.000358012,0.462050694,25740,420,1.8706102,480.984011,54.54852,0,53,1,3
73,39.726246,-99.778953,0.17163965,0.081050065,0.277004733,37680,12840,1.903157617,157.534095,97.92995,0,77,11,4
74,37.315689,-101.03683,0.139573188,0.01553996,0.109853897,24030,2040,1.591688158,43.861454,75.53273,0,77,0,3
75,39.770242,-100.371933,0.589648003,0,0.301526991,60900,0,1.496570853,445.123625,95.39566,0,67,0,5
76,38.29377433,-101.0626107,0.419717704,0.045568532,0.206634664,36270,5280,1.623970352,2520.391836,28.07475,1,65,0,1
77,39.132562,-100.193577,0.385067776,0.01247938,0.282794234,66060,3120,1.897932895,220.773276,106.6124,0.070049,53,7,3
78,38.62536339,-100.2797172,0.194422539,0.281597247,0.365832676,26220,27510,1.879778335,508.395726,97.25347,0.601016,70,0,1
79,37.373614,-100.537877,0.883335724,0.005664707,0.000286815,72450,2820,0.913880379,1364.309017,15.93043,0,65,1,4
80,38.27384254,-101.5679988,0.369277065,0.07666404,0.077237229,53010,9060,1.654697599,12.648317,14.15138,0.888958,83,0,1
81,39.322456,-101.858092,0.369736465,0.15489831,0.270767689,56310,23280,1.826281711,249.725975,49.74115,0.498415,81,18,2
82,38.755797,-99.764675,0.014559277,0.00996916,0.624184178,13260,1980,1.742175456,131.201023,110.3529,0,67,1,3
83,38.90916772,-101.66744,0.198295007,0.299591661,0.319292213,24270,17100,1.918102091,901.462794,94.48325,0.649347,55,0,1
84,37.616865,-100.774772,0.650447868,0.054747402,0.009029022,71550,5220,1.35295094,3001.576863,26.50411,0.931011,69,13,2
85,39.581359,-99.919894,0.003155705,0.036290612,0.821487485,3360,4380,1.533878006,326.337531,120.0266,0,53,6,4
86,38.32138743,-101.1685901,0.208614017,0.257488892,0.306650422,23520,15600,1.858144872,788.915483,35.04662,0.647906,27,0,0
87,39.494667,-99.993687,0.439968461,0.167084797,0.123575371,67080,37740,1.870363735,132.60935,119.7237,0,79,0,5
88,37.243209,-101.616666,0.151647564,0.129083095,0.244340941,56910,13500,2.152955855,30.188331,28.06989,0.069854,69,4,3
89,39.03285761,-101.5661729,0.128026938,0.151740937,0.654033529,14700,10260,1.732115086,116.956095,84.0397,0.262785,54,5,2
90,38.170199,-99.876013,0.092062809,0.321717932,0.415716642,23940,28620,1.92417427,99.20443,105.8808,0,83,13,4
91,37.166953,-100.445051,0.113755286,0.117984374,0.408429503,23520,17460,2.194634565,187.059322,129.6519,0,81,5,2
92,37.434716,-100.107979,0.106146453,0.494083052,0.083626192,22020,25200,1.68798946,2949.607439,38.12427,0,71,5,4
93,37.88279468,-101.6528967,0.134417072,0.008808364,0.806860499,14430,1620,1.258718633,415.229265,54.70894,0.089692,80,4,1
94,39.773043,-100.006121,0.113111462,0,0.525534357,47430,0,1.983976761,104.892623,79.86729,0,41,0,2
95,39.633478,-101.937817,0.074426934,0.012464183,0.832879656,23220,1920,1.508367248,148.243472,75.49654,0.157479,81,6,5
96,37.69471332,-102.0284684,0.175935867,0.30692148,0.123255315,39600,19020,1.920922631,179.805302,18.26737,0.890952,82,2,3
97,39.717398,-102.03299,0.207715983,0.017679479,0.576050391,40560,4620,1.793047147,1208.790424,43.14466,0.36997,82,14,3
98,37.9720974,-101.9448549,0.086585977,0,0.871016257,10920,0,1.311053731,1993.687785,44.98193,0,53,0,1
99,38.098345,-100.185879,0.18766583,0.366654715,0.198422373,26640,24420,1.856899286,127.351961,92.39713,0.428799,80,0,2
100,39.828336,-100.313914,0.514949451,0,0.182619918,66390,0,1.603655147,57.559002,102.5176,0,54,0,4
101,38.24477873,-101.6346697,0.576752186,0.197219435,0.002364914,50250,10860,1.382212009,689.794526,20.51735,0.767134,62,0,2
102,39.330367,-101.204032,0.858514908,0.017130161,0.000645069,56160,11040,0.979107598,254.431135,67.8636,0.712607,80,25,6
103,38.40759837,-100.1881834,0.185448029,0.124229391,0.479283154,21120,9600,1.902416375,457.756052,117.1283,0,69,9,4
104,37.998294,-100.648607,0.440180749,0.271912208,0.0050208,38610,10050,1.510533727,1253.790867,14.90948,0.94727,80,0,2
105,39.90792,-100.2603,0.543121371,0.000860277,0.358448635,72660,720,1.509158631,174.586503,111.7029,0,67,0,5
106,39.024578,-99.807084,0.507744156,0.049046322,0.114298006,50220,10140,1.663505272,237.045665,111.1062,0,81,4,4
107,38.35148135,-100.3987857,0.480461748,0.082885208,0.110561411,39930,8160,1.678577511,2.784136,70.03103,0.394906,67,0,2
108,37.328507,-101.777789,0.234505983,0.188579208,0.083040768,49260,17790,1.827126464,933.30134,36.58526,0.26446,79,30,3
109,37.91412721,-101.7977489,0.216812258,0.191464986,0.547687241,10110,6420,1.719925586,1129.22968,41.90339,0.131879,63,0,4
110,37.32177,-100.2865,0.315242329,0.271938629,0.112059076,52080,19020,1.96229115,4.192369,93.37819,0,55,0,2
111,39.513154,-100.659993,0.39779164,0.023302502,0.151502116,44760,7920,1.662946618,515.625742,87.44161,0.853859,41,9,2
112,37.134199,-101.890603,0.136923518,0.051131481,0.486107133,29970,3240,1.994561471,301.599243,45.07813,0.062654,82,25,3
113,38.79272729,-101.3722849,0.088473386,0.002435705,0.702270936,25260,1080,1.564908719,1.652982,72.33444,0.43677,77,0,3
114,38.81502693,-100.6796122,0.251451509,0.327646764,0.377033904,26010,24000,1.699162362,2038.842039,85.03288,0.151581,78,0,4
115,38.5980342,-100.7302441,0.646308244,0.008100358,0.126379944,49530,3840,1.395766954,4.598641,24.54749,0.895982,80,0,2
116,37.121122,-100.783233,0.070890976,0.139703247,0.025016148,23700,17160,1.57198361,122.709449,47.3345,0,65,7,2
117,37.577531,-100.183029,0.293223378,0.034994622,0.169021155,37200,10560,1.727153342,7.36318,102.7167,0,67,0,3
118,38.26296744,-101.46411,0.528788313,0.073474649,0.016112862,51030,9480,1.454106043,4209.764883,13.36038,0.869565,65,2,3
119,37.183793,-100.772759,0.070342751,0.052057938,0.409866628,9480,9600,1.934708743,2824.152118,45.87313,0,68,1,1
120,38.84686678,-101.236641,0.396115531,0.050240092,0.345660431,48000,3720,1.744837953,4.259304,84.21486,0.679047,81,15,5
121,38.45396159,-100.4506367,0.494269341,0.068839542,0.265759312,56610,12840,1.735373963,124.033157,49.96083,0.531639,67,0,3
122,37.235129,-101.294527,0.23608624,0.217821073,0.200916811,62340,21960,1.922007734,7789.59823,0.309298,0,68,6,3
123,37.882172,-100.081948,0.27283809,0.083966729,0.433816149,37080,10560,1.884703425,50.876525,91.41418,0,61,0,2
124,37.132536,-100.57123,0.50304725,0.125905213,0.181042519,72330,15900,1.78482262,984.680509,33.53653,0,54,2,2
125,37.398328,-100.750071,0.343967309,0.395082085,0.002795899,53610,14580,1.456255288,432.040049,5.419921,0.972769,64,7,1
126,37.123008,-101.048203,0.669435692,0.150315096,0.007662561,74640,10200,1.396774089,13825.2498,0,0,75,6,4
127,38.61797758,-101.6878385,0.582963175,0.044132397,0.089840952,60570,7140,1.542000933,234.186197,36.27447,0.863176,74,39,4
128,37.58199,-101.39077,0.393798339,0.039816671,0.122171285,71160,6660,1.849012467,1726.670531,23.0639,0.740493,54,2,4
129,38.350028,-101.4619102,0.475760831,0.191908342,0.009380587,54780,13620,1.556368712,1507.923863,12.7934,0.827951,82,0,2
130,39.467975,-101.200499,0.897557132,0.004298302,0.045705279,52200,2460,0.910842449,35.441977,46.28563,0.965627,44,0,3
131,38.60419436,-101.8647745,0.574958814,0,0.038679178,64350,0,1.377861903,1091.410686,32.73145,0.985452,42,0,2
132,38.88154413,-101.3706723,0.001218027,0,0.969907525,1560,0,1.05037452,776.59156,64.53126,0.376151,74,1,2
133,39.814185,-100.971816,0.018340736,0,0.893752687,5700,0,1.378211073,483.128451,92.26254,0.179019,55,21,2
134,37.429988,-99.762395,0.146619779,0,0.531577437,32670,0,1.768716653,348.183657,111.3462,0,79,27,2
135,39.00279974,-101.9803646,0.525136064,0.012317388,0.092165569,51660,2460,1.447352396,1209.90943,79.0034,0.808999,82,1,4
136,37.584122,-100.474934,0.531081953,0,0.020936402,64170,0,1.414169181,1550.044943,52.41562,0.249855,80,0,4
137,39.931521,-101.68272,0.120137546,0,0.689590945,28650,0,1.748942461,190.871921,70.50584,0.037308,73,1,2
138,39.590237,-101.488027,0.421867163,0.214730959,0.298344917,31020,24360,1.702312876,425.262863,70.41062,0.456192,81,0,3
139,37.966961,-99.959,0.354986735,0.322865132,0.032623503,41850,16110,1.577705663,958.024363,88.20453,0,62,30,4
140,38.040497,-99.776491,0.102393236,0.119733448,0.647750118,12510,17940,1.79299299,33.556317,114.9954,0,69,12,4
141,38.30330592,-101.2719282,0.222230185,0.194352874,0.154865988,32280,13860,1.917162337,446.559749,33.7443,0.817233,77,0,3
142,39.36652,-100.236387,0.103089827,0.054914331,0.632948598,32160,8880,1.569335016,203.288267,103.9651,0.323609,81,0,1
143,37.357601,-100.879479,0.60547631,0.225646907,0.002007025,52800,17940,1.372899255,5870.283287,6.115713,0.98241,70,0,2
144,39.379927,-100.925993,0.849132368,0,0.072350494,52710,0,1.046298129,415.827098,55.94806,0.840401,68,0,5
145,37.431247,-99.643789,0.108664467,0,0.760722995,26070,0,1.238897081,463.194433,117.1297,0,77,3,4
146,37.276909,-99.554009,0.270706346,0.128863392,0.400645393,49140,16620,1.911317479,17.614894,68.21923,0,55,3,4
147,38.29322007,-101.3905319,0.501611863,0.108030661,0.107099362,37800,9480,1.583881689,1554.711606,16.36031,0.912166,67,0,1
148,38.96506858,-101.8324353,0.448836377,0.021124239,0.447977085,34830,4740,1.630780538,299.197279,78.75851,0.514886,69,1,5
149,38.6435821,-100.8066088,0.649584289,0.061854931,0.005232225,43710,6690,1.246607297,2130.94571,30.78967,0.980776,83,0,4
150,39.817218,-99.646176,0.439710207,0.091815508,0.316333118,53670,10380,1.648387994,440.337103,60.44599,0,81,0,3
151,39.06176,-100.812482,0.510028653,0,0.243839541,55770,0,1.575785207,382.036311,77.65533,0.776266,81,23,5
152,38.45747138,-101.2555578,0.445789172,0.228086508,0.084431395,35760,10770,1.638838765,769.070461,25.69003,0.494167,59,0,2
153,38.55365251,-100.450148,0.442150538,0.044874552,0.300860215,54780,5220,1.767925233,103.571121,42.56735,0.643485,73,9,4
154,39.13388077,-101.8926325,0.498138336,0.11105542,0.134684233,73320,21210,1.68873083,5.449633,77.43914,0.774121,67,1,3
155,37.79577,-100.497561,0.622356062,0.044955904,0.033914103,110490,12600,1.476985171,4342.847243,19.53763,0,68,0,2
156,38.292052,-99.892876,0.205506955,0.378172953,0.264663702,44340,31800,1.836382395,528.536262,129.8619,0,81,4,4
157,37.888787,-100.440423,0.710054504,0.048623064,0.004804934,48900,3420,1.33871777,167.409839,21.28204,0.270917,73,0,4
158,38.74122169,-101.9096565,0.372036387,0.093403051,0.175703746,56700,5280,1.776511191,292.755277,40.26002,0.841607,76,5,3
159,39.914747,-101.056841,0.396028958,0.00258046,0.397964303,50850,1860,1.707653755,123.061284,84.94947,0.67717,83,1,4
160,38.06545434,-101.4871115,0.355116079,0.228360562,0.049082832,35160,12660,1.721993161,5275.315124,9.025584,0.986605,67,0,1
161,39.842724,-100.351028,0.481537248,0,0.354986736,52110,0,1.616250958,43.736028,103.6467,0,81,0,4
162,38.67782725,-100.9154667,0.101233152,0.009965586,0.638227708,12720,2820,1.901370959,184.716573,63.0437,0.318323,78,0,3
163,37.183912,-100.454344,0.084187881,0.029401219,0.697741126,11400,10920,1.737464097,82.424354,115.9824,0,68,9,4
164,37.723022,-99.678501,0.492646531,0,0.106392137,84720,0,1.540176793,396.260976,83.16627,0,63,0,3
165,37.380343,-100.612021,0.786840596,0,0.000358397,71310,0,1.033664573,967.685665,9.00728,0,54,36,2
166,38.51322884,-101.3040188,0.587653259,0.10152721,0.022083602,52140,4980,1.432065887,1585.777062,14.73639,0.962273,64,0,2
167,39.068699,-100.351358,0.628862284,0.006165317,0.101369273,75900,2340,1.406575457,87.976108,83.74881,0.643853,81,5,3
168,38.50974928,-101.1554118,0.670154067,0.002579721,0.006664278,48210,1140,1.153926712,2940.939788,21.85937,0.991424,69,5,3
169,37.618426,-99.818419,0.414592152,0.108257407,0.171820073,41850,16020,1.945939654,311.664276,97.92862,0,82,2,4
170,37.216688,-101.270095,0.270245091,0.380392719,0.108499355,38280,28860,1.76683901,7535.568659,0.309298,0,58,0,1
171,37.282985,-100.406119,0.25740515,0.049056874,0.512802123,34860,7170,1.867078863,370.742837,121.3241,0,68,2,3
172,38.11913402,-101.2857345,0.593879891,0.009172997,0.00229325,58500,1860,1.21399133,1337.17594,57.73028,0.973944,69,13,4
173,39.0903328,-101.0959233,0.744766275,0,0.089905363,51030,0,1.274196841,202.631041,57.26683,0.941896,69,0,3
174,37.024932,-101.471806,0.588904796,0.275447387,0.01166786,69930,18840,1.43309351,15808.37788,0,0,68,1,3
175,39.677403,-100.291108,0.313078413,0.00990028,0.423631537,63240,3570,1.869123934,552.428095,94.11942,0,68,1,5
176,38.85427499,-100.9672997,0.06874552,0.027240143,0.755842294,15480,4440,1.706748226,280.779608,77.75507,0.520158,60,3,5
177,37.523677,-100.291772,0.466848255,0.137552864,0.108451007,36930,18180,1.731243749,198.362224,108.1355,0.343361,75,0,3
178,38.09805729,-100.8550596,0.407455197,0.162437276,0.221433691,45600,14730,1.864811933,3497.936483,14.0583,0.052957,65,18,4
179,37.88311,-101.46271,0.018270402,0,0.73124597,9900,0,1.649605943,1358.203877,55.87501,0,27,7,1
180,37.483455,-101.825552,0.463697551,0.326793642,0.023772018,36540,16260,1.520820278,1810.970808,27.64598,0.680021,70,0,4
181,39.5911,-99.646775,0.241641555,0.022815325,0.522456547,38490,6060,1.835077943,196.067008,99.31454,0,80,0,2
182,39.14016059,-102.0250914,0.296370535,0.339680722,0.174099792,48390,28980,1.766795323,151.240541,48.40332,0.429706,78,2,2
183,37.134611,-100.20917,0.224150294,0.124193317,0.474688083,35940,16920,1.889450401,288.62384,140.9304,0,53,0,2
184,38.904813,-99.9089,0.269539653,0.108561595,0.29470816,40200,15360,1.908805992,407.120849,126.4608,0,54,0,3
185,39.437346,-101.885583,0.60752149,0.184598854,0.099212034,47880,15540,1.501913873,82.25219,52.11361,0.695928,82,0,3
186,38.77718327,-100.5341863,0.174994623,0.183382321,0.490070972,14820,24540,1.886702812,8.761437,94.13806,0.291353,73,0,3
187,37.110115,-101.855233,0.00594343,0,0.345506624,6600,0,1.349582285,892.815604,33.25718,0,82,19,2
188,38.26156373,-102.0234101,0.479117415,0.175442367,0.018697615,39690,26160,1.51750678,3844.399071,8.847705,0.884765,69,0,2
189,39.247969,-101.615213,0.429062522,0.201747475,0.052495882,77040,10680,1.609548256,54.079392,40.69719,0.683317,41,0,1
